observationID,mediaID,observationType,cameraSetupType,taxonID,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
8608b7ef-00e2-4585-acdf-86665f885a57_1,8608b7ef-00e2-4585-acdf-86665f885a57,blank,,,,1,,,,,,,human,Peter Desmet,,,,
6709f244-9c70-4a77-ab16-b4d607425b59_1,6709f244-9c70-4a77-ab16-b4d607425b59,blank,,,,1,,,,,,,human,Peter Desmet,,,,
d1f2810a-8814-4b1a-91b7-9c43f1b61581_1,d1f2810a-8814-4b1a-91b7-9c43f1b61581,blank,,,,1,,,,,,,human,Peter Desmet,,,,
fe0b0683-3e3d-4af9-b15f-65634930d178_1,fe0b0683-3e3d-4af9-b15f-65634930d178,blank,,,,1,,,,,,,human,Peter Desmet,,,,
a4a2edd4-c034-42ee-910b-9344990be7f8_1,a4a2edd4-c034-42ee-910b-9344990be7f8,blank,,,,1,,,,,,,human,Peter Desmet,,,,
a8848796-07ce-40e5-95ec-c9436f7ed919_1,a8848796-07ce-40e5-95ec-c9436f7ed919,animal,,44QYC,Mustela putorius,1,adult,,,,,,human,Peter Desmet,,,,
e470918a-4d8e-4601-8e46-dbb90da0ce66_1,e470918a-4d8e-4601-8e46-dbb90da0ce66,animal,,44QYC,Mustela putorius,1,adult,,,,,,human,Peter Desmet,,,,
5ff74dc7-ad0f-465f-8a24-7ab2e32e617d_1,5ff74dc7-ad0f-465f-8a24-7ab2e32e617d,animal,,44QYC,Mustela putorius,1,adult,,,,,,human,Peter Desmet,,,,
27e8fb0c-f3ce-4453-92b5-6f4a3b1bca4d_1,27e8fb0c-f3ce-4453-92b5-6f4a3b1bca4d,blank,,,,,,,,,,,human,Peter Desmet,,,,
9721100f-a512-4348-b050-5b4e8f568208_1,9721100f-a512-4348-b050-5b4e8f568208,blank,,,,,,,,,,,human,Peter Desmet,,,,
356cae2f-2c95-416e-85ca-1d32e4670f6a_1,356cae2f-2c95-416e-85ca-1d32e4670f6a,blank,,,,,,,,,,,human,Peter Desmet,,,,
0ec13e8a-1768-4d51-9be9-be810b0d9f82_1,0ec13e8a-1768-4d51-9be9-be810b0d9f82,blank,,,,,,,,,,,human,Peter Desmet,,,,
fde2387d-6ca9-475f-bdf9-f37b1599ef40_1,fde2387d-6ca9-475f-bdf9-f37b1599ef40,blank,,,,,,,,,,,human,Peter Desmet,,,,
e41c5c84-e8b3-4a7a-97ec-6bb9903e9286_1,e41c5c84-e8b3-4a7a-97ec-6bb9903e9286,blank,,,,,,,,,,,human,Peter Desmet,,,,
1d268bc4-c1e5-4593-8844-6270ee93d1c5_1,1d268bc4-c1e5-4593-8844-6270ee93d1c5,blank,,,,,,,,,,,human,Peter Desmet,,,,
91de8c9e-93a2-4828-afaf-e21370118402_1,91de8c9e-93a2-4828-afaf-e21370118402,animal,,44QYC,Mustela putorius,1,adult,,,,,,human,Peter Desmet,,,,
